sponsor_id,sponsor_name,createdAt
sp_001,Sanofi,2023-06-15
sp_002,Moderna,2021-08-11
sp_003,AstraZeneca,2022-05-12
sp_004,Pfizer,2022-03-16
sp_005,Novartis,2023-09-30
sp_006,Roche,2023-07-26
sp_007,Johnson & Johnson,2024-03-18
sp_008,Merck,2021-10-18
sp_009,GSK,2022-10-20
sp_010,Bristol-Myers Squibb,2021-08-16
sp_011,AbbVie,2022-03-11
sp_012,Eli Lilly,2023-01-19
sp_013,Bayer,2021-08-13
sp_014,Amgen,2022-02-17
sp_015,Gilead Sciences,2023-06-27
sp_016,Boehringer Ingelheim,2023-03-04
sp_017,Takeda,2022-03-13
sp_018,Novo Nordisk,2023-04-21
sp_099,TEST,2024-01-01
